time(ns),x,y,z,qw,qx,qy,qz
1718164075000739072,-61.2358,254.998,14.2455,0.715537,0.00106152,-0.00571996,-0.698551
1718164075100717056,-61.2339,254.581,14.2441,0.71463,0.000951473,-0.00607116,-0.699476
1718164075200704000,-61.233,254.166,14.2421,0.713696,0.000761926,-0.00651665,-0.700425
1718164075300685056,-61.2326,253.753,14.2405,0.712826,0.000517109,-0.00650602,-0.70131
1718164075400659968,-61.2343,253.341,14.2392,0.71193,0.000755194,-0.00692691,-0.702215
1718164075500622080,-61.2364,252.933,14.2382,0.711189,0.000595904,-0.00704954,-0.702965
1718164075600584960,-61.24,252.526,14.2378,0.710405,0.000882947,-0.00751129,-0.703753
1718164075700538880,-61.2429,252.122,14.2379,0.709801,0.000558133,-0.00748849,-0.704362
1718164075800503040,-61.247,251.721,14.2378,0.709219,0.000629951,-0.00790138,-0.704943
1718164075900453120,-61.2498,251.323,14.2373,0.708835,0.000135794,-0.00768048,-0.705333
1718164076000400896,-61.2538,250.928,14.2364,0.708537,7.2688e-05,-0.0079685,-0.705629
1718164076100352000,-61.2578,250.535,14.2365,0.708429,-0.000150953,-0.00797315,-0.705737
1718164076200325888,-61.2617,250.146,14.2367,0.708266,-0.000108159,-0.00799299,-0.7059
1718164076300311040,-61.2651,249.761,14.2375,0.70817,-0.00046536,-0.00791212,-0.705998
1718164076400299008,-61.2684,249.382,14.2388,0.708184,-0.000714925,-0.00805257,-0.705982
1718164076500275968,-61.2719,249.007,14.2399,0.708332,-0.00092986,-0.00804618,-0.705833
1718164076600258048,-61.2743,248.637,14.2399,0.708417,-0.00105364,-0.00797826,-0.705749
1718164076700241920,-61.2764,248.271,14.2403,0.708818,-0.000968397,-0.00763601,-0.705349
1718164076800214016,-61.278,247.91,14.2401,0.709551,-0.000648695,-0.0073559,-0.704616
1718164076900174080,-61.2792,247.556,14.2402,0.710599,-0.000200973,-0.00768336,-0.703555
1718164077000129024,-61.2769,247.206,14.2415,0.712245,-0.000340992,-0.0075861,-0.70189
1718164077100090880,-61.2715,246.859,14.2431,0.714502,-2.26888e-05,-0.00756032,-0.699593
1718164077200048896,-61.2621,246.516,14.2448,0.717681,7.52597e-05,-0.00728361,-0.696334
1718164077300020992,-61.2484,246.176,14.2456,0.721465,0.00017115,-0.00737727,-0.692411
1718164077399994112,-61.2401,245.846,14.2473,0.726047,0.00178252,-0.0112811,-0.68755
1718164077499974912,-61.2179,245.518,14.2488,0.731136,0.000167375,-0.01254,-0.682116
1718164077599963904,-61.1804,245.189,14.2484,0.736745,-0.000608196,-0.011349,-0.676075
1718164077699965952,-61.1346,244.861,14.2473,0.743231,-0.00126427,-0.00850398,-0.66898
